time,eua_price
1325462400,7.14
1325548800,6.59
1325635200,6.55
1325721600,6.74
1325808000,6.60
1326067200,6.79
1326153600,7.13
1326240000,7.04
1326326400,7.20
1326412800,7.00
1326672000,6.74
1326758400,6.74
1326844800,6.85
1326931200,7.31
1327017600,7.27
1327276800,7.11
1327363200,7.51
1327449600,7.59
1327536000,7.74
1327622400,8.19
1327881600,7.75
1327968000,8.04
1328054400,8.46
1328140800,8.74
1328227200,8.50
1328486400,8.69
1328572800,8.75
1328659200,8.34
1328745600,8.02
1328832000,7.92
1329091200,7.66
1329177600,8.11
1329264000,8.37
1329350400,9.00
1329436800,9.27
1329696000,8.78
1329782400,9.18
1329868800,9.17
1329955200,8.83
1330041600,9.44
1330300800,9.52
1330387200,9.04
1330473600,8.56
1330560000,8.88
1330646400,9.06
1330905600,8.86
1330992000,8.54
1331078400,8.58
1331164800,8.45
1331251200,8.11
1331510400,7.84
1331596800,7.82
1331683200,8.14
1331769600,8.01
1331856000,7.79
1332115200,7.78
1332201600,7.18
1332288000,7.45
1332374400,6.87
1332460800,7.02
1332720000,6.97
1332806400,7.26
1332892800,7.18
1332979200,6.86
1333065600,7.11
1333324800,6.34
1333411200,6.49
1333497600,6.18
1333584000,6.81
1334016000,6.92
1334102400,7.03
1334188800,7.16
1334275200,7.27
1334534400,6.91
1334620800,7.17
1334707200,7.32
1334793600,7.44
1334880000,7.43
1335139200,7.19
1335225600,7.20
1335312000,7.15
1335398400,7.33
1335484800,7.36
1335744000,7.60
1335916800,7.23
1336003200,7.16
1336089600,6.70
1336348800,6.73
1336435200,6.84
1336521600,6.79
1336608000,6.75
1336694400,6.83
1336953600,6.67
1337040000,6.56
1337126400,6.58
1337299200,6.43
1337558400,6.70
1337644800,7.00
1337731200,6.80
1337817600,6.89
1337904000,6.92
1338249600,6.64
1338336000,6.50
1338422400,6.37
1338508800,6.46
1338768000,6.50
1338854400,6.48
1338940800,6.46
1339027200,6.54
1339113600,6.65
1339372800,6.68
1339459200,6.73
1339545600,6.80
1339632000,6.93
1339718400,7.32
1339977600,7.42
1340064000,7.59
1340150400,7.51
1340236800,7.56
1340323200,8.16
1340582400,8.06
1340668800,8.10
1340755200,7.97
1340841600,7.98
1340928000,8.29
1341187200,8.15
1341273600,8.34
1341360000,8.30
1341446400,8.36
1341532800,8.07
1341792000,8.01
1341878400,7.95
1341964800,7.91
1342051200,7.69
1342137600,7.65
1342396800,7.57
1342483200,7.70
1342569600,7.16
1342656000,6.87
1342742400,7.14
1343001600,7.15
1343088000,7.20
1343174400,6.86
1343260800,6.97
1343347200,6.93
1343606400,6.58
1343692800,6.93
1343779200,6.98
1343865600,7.08
1343952000,7.12
1344211200,7.20
1344297600,7.32
1344384000,7.24
1344470400,7.15
1344556800,7.20
1344816000,7.50
1344902400,7.65
1344988800,7.50
1345075200,7.70
1345161600,7.71
1345420800,7.64
1345507200,7.91
1345593600,8.03
1345680000,8.15
1345766400,8.16
1346025600,8.16
1346112000,8.01
1346198400,7.72
1346284800,7.67
1346371200,8.03
1346630400,8.25
1346716800,8.19
1346803200,8.24
1346889600,8.26
1346976000,8.36
1347235200,7.86
1347321600,7.74
1347408000,7.96
1347494400,7.81
1347580800,7.47
1347840000,7.39
1347926400,7.47
1348012800,7.56
1348099200,7.67
1348185600,7.45
1348444800,7.27
1348531200,7.46
1348617600,7.63
1348704000,7.84
1348790400,7.94
1349049600,7.95
1349136000,7.87
1349308800,7.65
1349395200,7.81
1349654400,7.93
1349740800,7.89
1349827200,7.72
1349913600,7.79
1350000000,7.81
1350259200,7.70
1350345600,8.00
1350432000,8.29
1350518400,8.09
1350604800,8.00
1350864000,7.90
1350950400,7.88
1351036800,7.71
1351123200,7.67
1351209600,7.88
1351468800,8.07
1351555200,8.13
1351641600,8.23
1351728000,8.05
1351814400,8.10
1352073600,8.26
1352160000,8.33
1352246400,8.22
1352332800,8.28
1352419200,8.35
1352678400,9.08
1352764800,8.42
1352851200,7.90
1352937600,7.13
1353024000,6.93
1353283200,6.72
1353369600,6.75
1353456000,6.79
1353542400,6.79
1353628800,7.01
1353888000,6.84
1353974400,6.85
1354060800,6.84
1354147200,6.59
1354233600,6.22
1354492800,5.95
1354579200,5.73
1354665600,6.21
1354752000,6.40
1354838400,6.79
1355097600,7.07
1355184000,6.84
1355270400,6.75
1355356800,6.65
1355443200,6.57
1355702400,6.46
1355788800,6.95
1355875200,7.25
1355961600,7.34
1356048000,7.24
1356566400,7.06
1356652800,6.72
1357084800,6.59
1357171200,6.39
1357257600,6.36
1357516800,6.65
1357603200,6.48
1357689600,6.22
1357776000,6.04
1357862400,5.92
1358121600,5.90
1358208000,6.09
1358294400,5.66
1358380800,5.61
1358467200,5.12
1358726400,4.97
1358812800,5.45
1358899200,4.67
1358985600,4.35
1359072000,4.12
1359331200,4.18
1359417600,3.99
1359504000,3.81
1359590400,3.44
1359676800,4.19
1359936000,4.37
1360022400,4.45
1360108800,4.19
1360195200,4.21
1360281600,4.58
1360540800,4.50
1360627200,4.61
1360713600,5.26
1360800000,5.25
1360886400,5.20
1361145600,5.15
1361232000,4.68
1361318400,4.98
1361404800,5.31
1361491200,5.20
1361750400,4.59
1361836800,4.30
1361923200,4.47
1362009600,4.92
1362096000,4.66
1362355200,4.63
1362441600,4.27
1362528000,4.28
1362614400,4.33
1362700800,4.27
1362960000,3.98
1363046400,3.75
1363132800,3.56
1363219200,3.73
1363305600,3.78
1363564800,3.57
1363651200,3.53
1363737600,4.02
1363824000,4.43
1363910400,4.17
1364169600,4.50
1364256000,4.66
1364342400,4.96
1364428800,4.90
1364860800,5.00
1364947200,4.93
1365033600,5.05
1365120000,5.20
1365379200,5.22
1365465600,4.78
1365552000,4.37
1365638400,4.37
1365724800,4.78
1365984000,4.79
1366070400,3.14
1366156800,2.79
1366243200,3.07
1366329600,3.10
1366588800,2.89
1366675200,3.08
1366761600,3.02
1366848000,2.98
1366934400,3.10
1367193600,3.32
1367280000,3.12
1367452800,3.09
1367539200,3.78
1367798400,3.91
1367884800,3.72
1367971200,3.50
1368144000,3.35
1368403200,3.28
1368489600,3.52
1368576000,3.63
1368662400,3.72
1368748800,3.52
1369094400,3.57
1369180800,3.32
1369267200,3.42
1369353600,3.58
1369612800,3.50
1369699200,3.65
1369785600,3.75
1369872000,3.83
1369958400,3.93
1370217600,3.92
1370304000,3.97
1370390400,3.92
1370476800,4.00
1370563200,4.11
1370822400,4.06
1370908800,4.22
1370995200,4.50
1371081600,4.42
1371168000,4.78
1371427200,4.57
1371513600,4.69
1371600000,4.38
1371686400,4.43
1371772800,4.37
1372032000,4.65
1372118400,5.82
1372204800,5.94
1372377600,4.76
1372636800,4.37
1378252800,4.70
1378339200,5.11
1378684800,5.46
1378771200,5.30
1378857600,5.39
1378944000,5.80
1379289600,5.62
1379376000,5.81
1379462400,5.70
1379548800,5.49
1379894400,5.57
1379980800,5.55
1380067200,5.55
1380153600,5.63
1380499200,5.17
1380585600,5.28
1380672000,5.43
1381104000,5.12
1381190400,5.01
1381276800,4.92
1381363200,4.90
1381708800,4.97
1381795200,5.10
1381881600,5.49
1381968000,5.33
1382313600,4.73
1382400000,4.84
1382486400,4.76
1382572800,4.81
1382918400,4.99
1383004800,5.25
1383091200,5.13
1383177600,4.98
1383523200,4.73
1383609600,4.93
1383696000,4.95
1383782400,4.98
1384128000,4.75
1384214400,4.80
1384300800,4.83
1384387200,4.73
1384732800,4.51
1384819200,4.59
1384905600,4.65
1384992000,4.58
1385337600,4.55
1385424000,4.63
1385510400,4.62
1385596800,4.57
1385942400,4.63
1386028800,4.61
1386115200,4.60
1386201600,4.80
1386547200,5.04
1386633600,5.15
1386720000,4.99
1386806400,5.04
1387152000,4.80
1387238400,5.02
1387324800,5.00
1387411200,1.90
1388361600,5.03
1388620800,4.84
1388966400,4.73
1389052800,4.76
1389139200,4.65
1389225600,4.59
1389571200,4.70
1389657600,4.90
1389744000,4.89
1389830400,5.16
1390176000,4.98
1390262400,5.10
1390348800,5.18
1390435200,5.10
1390780800,5.46
1390867200,5.60
1390953600,5.59
1391040000,5.78
1391385600,5.91
1391472000,5.91
1391558400,6.16
1391644800,6.53
1391990400,6.51
1392076800,6.34
1392163200,6.43
1392249600,6.46
1392595200,6.88
1392681600,6.84
1392768000,7.01
1392854400,7.09
1393200000,7.11
1393286400,6.30
1393372800,6.58
1393459200,6.58
1393804800,6.68
1393891200,6.90
1393977600,6.87
1394064000,6.88
1394409600,6.98
1394496000,6.88
1394582400,6.58
1394668800,6.50
1395014400,5.95
1395100800,5.85
1395187200,6.07
1395273600,6.08
1395619200,5.95
1395705600,5.93
1395792000,5.86
1395878400,5.24
1396224000,4.70
1396310400,5.10
1396396800,4.88
1396483200,4.90
1396828800,5.04
1396915200,4.92
1397001600,4.99
1397088000,5.18
1397433600,5.29
1397520000,5.60
1397606400,5.48
1397692800,5.60
1398124800,5.73
1398211200,5.72
1398297600,5.77
1398643200,5.26
1398729600,5.46
1398816000,5.40
1398988800,5.23
1399248000,5.27
1399334400,5.28
1399420800,5.18
1399507200,5.19
1399852800,5.36
1399939200,5.34
1400025600,5.17
1400112000,4.83
1400457600,4.75
1400544000,4.90
1400630400,5.15
1400716800,5.22
1401062400,5.15
1401148800,5.22
1401235200,5.24
1401321600,5.23
1401667200,5.20
1401753600,5.47
1401840000,5.44
1401926400,5.57
1402272000,5.56
1402358400,5.53
1402444800,5.40
1402531200,5.59
1402876800,5.69
1402963200,5.74
1403049600,5.70
1403136000,5.58
1403481600,5.83
1403568000,5.79
1403654400,5.76
1403740800,5.76
1404086400,6.04
1404172800,6.22
1404259200,6.30
1404345600,6.21
1404691200,5.74
1404777600,5.91
1404864000,5.98
1404950400,5.87
1405296000,6.06
1405382400,6.13
1405468800,6.22
1405555200,6.35
1405900800,6.25
1405987200,6.36
1406073600,6.35
1406160000,6.23
1406505600,6.39
1406592000,6.21
1406678400,6.34
1406764800,6.39
1407110400,6.42
1407196800,6.38
1407283200,6.38
1407369600,6.10
1407715200,6.33
1407801600,6.30
1407888000,6.43
1407974400,6.38
1408320000,6.53
1408406400,6.62
1408492800,6.56
1408579200,6.53
1408924800,6.50
1409011200,6.48
1409097600,6.53
1409184000,6.60
1409529600,6.56
1409616000,6.56
1409702400,6.50
1409788800,6.26
1410134400,6.42
1410220800,6.27
1410307200,6.22
1410393600,6.25
1410739200,6.06
1410825600,5.87
1410912000,5.90
1410998400,5.99
1411344000,6.00
1411430400,5.68
1411516800,5.82
1411603200,5.82
1411948800,5.77
1412035200,5.83
1412121600,5.82
1412208000,5.69
1412553600,5.68
1412640000,5.74
1412726400,6.05
1412812800,6.11
1413158400,6.05
1413244800,6.08
1413331200,6.16
1413417600,6.22
1413763200,6.14
1413849600,6.18
1413936000,6.24
1414022400,6.34
1414368000,6.30
1414454400,6.16
1414540800,6.41
1414627200,6.41
1414972800,6.57
1415059200,6.50
1415145600,6.66
1415232000,6.64
1415577600,6.71
1415664000,6.80
1415750400,6.84
1415836800,6.80
1416182400,6.86
1416268800,7.02
1416355200,7.03
1416441600,6.94
1416787200,7.05
1416873600,7.12
1416960000,7.19
1417046400,7.09
1417392000,7.05
1417478400,6.87
1417564800,6.88
1417651200,6.84
1417996800,6.67
1418083200,6.74
1418169600,6.51
1418256000,6.74
1418601600,6.84
1427846400,7.24
1427932800,7.20
1428364800,7.10
1428451200,7.12
1428537600,7.02
1428624000,7.05
1428883200,6.80
1428969600,6.80
1429056000,6.84
1429142400,6.86
1429228800,6.93
1429488000,7.12
1429574400,7.04
1429660800,7.07
1429747200,7.24
1429833600,7.36
1430092800,7.12
1430179200,7.22
1430265600,7.42
1430352000,7.42
1430697600,7.58
1430784000,7.54
1430870400,7.54
1430956800,7.44
1431043200,7.59
1431302400,7.59
1431388800,7.59
1431475200,7.60
1431561600,7.56
1431648000,7.66
1431907200,7.58
1431993600,7.25
1432080000,7.35
1432166400,7.28
1432252800,7.38
1432598400,7.22
1432684800,6.72
1432771200,7.20
1432857600,7.39
1433116800,7.32
1433203200,7.50
1433289600,7.57
1433376000,7.48
1433462400,7.48
1433721600,7.53
1433808000,7.64
1433894400,7.66
1433980800,7.58
1434067200,7.67
1434326400,7.60
1434412800,7.50
1434499200,7.55
1434585600,7.51
1434931200,7.55
1435017600,7.57
1435104000,7.56
1435190400,7.66
1435536000,7.42
1435622400,7.51
1435708800,7.55
1435795200,7.53
1436140800,7.43
1436227200,7.52
1436313600,7.52
1436400000,7.54
1436745600,7.84
1436832000,7.80
1436918400,7.83
1437004800,7.72
1437350400,8.06
1437436800,8.01
1437523200,8.02
1437609600,8.14
1437955200,8.08
1438041600,8.08
1438128000,8.12
1438214400,7.92
1438560000,8.02
1438646400,7.97
1438732800,7.88
1438819200,7.90
1439164800,7.99
1439251200,8.13
1439337600,8.26
1439424000,8.26
1439769600,8.30
1439856000,8.32
1439942400,8.40
1440028800,8.44
1440374400,8.27
1440460800,8.31
1440547200,8.17
1440633600,8.10
1440979200,8.12
1441065600,8.07
1441152000,8.18
1441238400,8.24
1441584000,8.15
1441670400,8.29
1441756800,8.32
1441843200,8.34
1442188800,8.30
1442275200,8.24
1442361600,8.30
1442448000,8.28
1442793600,8.05
1442880000,8.07
1442966400,8.14
1443052800,8.06
1443398400,7.98
1443484800,8.02
1443571200,8.18
1443657600,8.21
1444003200,8.25
1444089600,8.25
1444176000,8.15
1444262400,8.18
1444608000,8.35
1444694400,8.38
1444780800,8.48
1444867200,8.47
1445212800,8.39
1445299200,8.48
1445385600,8.49
1445472000,8.51
1445817600,8.70
1445904000,8.66
1445990400,8.62
1446076800,8.72
1446422400,8.64
1446508800,8.51
1446595200,8.44
1446681600,8.49
1447027200,8.36
1447113600,8.48
1447200000,8.48
1447286400,8.43
1447372800,8.44
1447632000,8.57
1447718400,8.66
1447804800,8.61
1447891200,8.66
1447977600,8.54
1448236800,8.59
1448323200,8.68
1448409600,8.66
1448496000,8.63
1448582400,8.61
1448841600,8.62
1448928000,8.59
1449014400,8.53
1449100800,8.61
1449187200,8.55
1449446400,8.45
1449532800,8.44
1449619200,8.44
1449705600,8.39
1450051200,8.11
1450137600,8.23
1450224000,8.17
1450310400,8.12
1450656000,8.22
1450742400,8.29
1450828800,8.26
1451260800,8.36
1451347200,8.30
1451433600,8.25
1451865600,8.07
1451952000,8.03
1452038400,7.78
1452124800,7.56
1452470400,7.16
1452556800,7.13
1452643200,7.27
1452729600,7.09
1453075200,6.73
1453161600,6.84
1453248000,6.32
1453334400,6.20
1453680000,5.89
1453766400,6.08
1453852800,5.91
1453939200,6.08
1454284800,5.69
1454371200,5.81
1454457600,5.62
1454544000,5.60
1454889600,5.24
1454976000,4.94
1455062400,4.90
1455148800,4.73
1455235200,5.03
1455494400,4.80
1455580800,4.69
1455667200,5.09
1455753600,5.25
1455840000,5.17
1456099200,5.42
1456185600,4.90
1456272000,4.86
1456358400,5.06
1456444800,4.99
1456704000,4.99
1456790400,5.00
1456876800,4.96
1456963200,4.89
1457049600,4.93
1457308800,5.09
1457395200,5.03
1457481600,5.08
1457568000,4.91
1457654400,4.99
1457913600,4.88
1458000000,4.87
1458086400,4.96
1458172800,5.00
1458259200,4.94
1458518400,4.86
1458604800,4.80
1458691200,4.80
1458777600,4.84
1459209600,4.77
1459296000,4.95
1459382400,5.20
1459468800,5.17
1459728000,5.31
1459814400,5.22
1459900800,5.30
1459987200,5.27
1460073600,5.43
1460332800,5.57
1460419200,5.57
1460505600,5.53
1460592000,5.60
1460678400,5.46
1460937600,5.46
1461024000,5.56
1461110400,5.54
1461196800,5.76
1461283200,5.95
1461542400,5.91
1461628800,6.61
1461715200,6.84
1461801600,6.33
1461888000,6.17
1462147200,6.11
1462233600,5.97
1462320000,6.13
1462406400,6.19
1462492800,5.85
1462752000,5.70
1462838400,5.89
1462924800,5.98
1463011200,5.80
1463097600,5.84
1463356800,6.10
1463443200,6.04
1463529600,6.04
1463616000,5.99
1463702400,5.95
1463961600,5.72
1464048000,5.78
1464134400,5.86
1464220800,6.02
1464307200,6.02
1464566400,6.10
1464652800,6.09
1464739200,5.95
1464825600,6.01
1464912000,5.92
1465171200,6.20
1465257600,6.09
1465344000,6.09
1465430400,6.10
1465516800,5.95
1465776000,5.83
1465862400,5.84
1465948800,5.88
1466035200,5.69
1466121600,5.67
1466380800,5.85
1466467200,5.54
1466553600,5.66
1466640000,5.64
1466726400,4.96
1466985600,4.78
