year,grid,carbon_per_kwh,coal_pc,gas_pc,biogas_pc,oil_heavy_pc,oil_light_pc,chips_pc,chips_recycled_pc,waste_pc
2016,FL,163.69,79.98,13.54,,0.17,1.58,1.02,0.06,3.66
2016,Langballig,3.75,,,66.66,,2.98,30.35,,
2016,Tarp,20.59,,16.81,53.88,,5.02,24.29,,
2017,FL,135.96,64.04,29.95,,0.09,0.39,1.14,0.29,4.10
2017,Langballig,1.25,,,76.67,,1.00,22.33,,
2017,Tarp,21.5,,17.74,58.19,,5.95,18.12,,
2018,FL,139.77,64.25,27.85,,0.05,0.43,0.76,0.16,6.48
2018,Langballig,3.80,,,77.10,,3.06,19.83,,
2018,Tarp,23.04,,22.12,51.81,,2.92,23.15,,
2019,FL,117.72,48.33,45.34,,0.00,0.37,0.72,0.01,5.23
2019,Langballig,2.62,,,76.62,,2.28,21.10,,
2019,Tarp,30.68,,22.57,49.39,,8.97,19.07,,
2020,FL,112.58,40.23,56.8,,,0.34,0.36,0.01,2.25
2020,Langballig,3.96,,,74.16,,3.03,22.8,,
2020,Tarp,27.59,,26.92,54.34,,1.98,16.76,,
2021,FL,128.58,51.52,44.43,,,0.63,0.16,,3.26
2021,Tarp,30.22,,23.43,47.95,,6.51,22.12,,
2021,Langballig,5.99,,,75.20,,4.91,19.89,,