year,ships,cargo_total,animal_feed_in,grit_in,scrap_in,fertiliser_in,cellulose_in,crop_in,logs_in,other_in,stones_in,sea_grit_in,coal_in,chips_in,oil_heavy_in,trafo_in,grit2_in,animal_feed_out,grit_out,scrap_out,fertiliser_out,cellulose_out,crop_out,logs_out,other_out,stones_out,sea_grit_out
2000,301,497,,,,,,,,,,,,,,,,,,,,,,,,,
2001,342,648,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,458,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,574,,,,,,,,,,,,,,,,,,,,,,,,,
2004,290,517.065,58066,28674,,38585,20784,5642,0,2215,0,0,342788,0,0,0,,7136,,,,,,,13175,,
2005,346,563.903,64069,47573,1901,63371,23680,8346,0,6950,0,0,337366,0,0,0,,8568,,,,,,,2079,,
2006,,499.182,81525,45821,1443,67711,21628,638,0,,0,0,274661,0,0,0,,4375,,,,,,,1380,,
2007,306,483.073,102283,20619,1000,63611,25710,10905,0,1390,0,0,250536,0,0,0,,2496,,,,,,,4523,,
2008,365,581.576,122981,25852,0,64929,25302,32287,0,3380,0,0,300997,0,0,0,,3348,,,,,,,2500,,
2009,276,488.886,124846,19863,0,70604,26022,15121,0,0,0,0,230343,0,0,0,,2087,,,,,,,,,
2010,346,491.262,154915,10046,0,74337,25888,11557,973,0,0,0,209145,2059,1903,0,,439,,,,,,,,,
2011,319,502.299,136438,36105,,60093,25056,1020,2500,,0,3844,236530,405,0,308,,,,,,,,,,,
2012,287,466.501,120209,25501,0,57536,14184,11309,0,0,0,0,235369,2393,0,0,,,,,,,,,,,
2013,227,398.229,35485,15787,0,58537,20698,11505,0,588,0,0,255629,0,0,0,,,,,,,,,,,
2014,153,367.883,6067,10033,0,80032,18696,13629,0,66,0,,239360,0,0,0,,,,,,,,,,,
2015,120,360.734,0,0,0,73617,23184,2680,0,35,0,,253966,0,0,0,,,,,7234,,,,18,,
2016,119,306.175,0,8302,0,59810,10984,0,0,62,0,,227017,0,0,0,,,,,,,,,,,
2017,,224.678,0,49696,0,59432,0,0,0,4,0,,115546,0,0,0,,,,,,,,,,,
2018,,289.019,2017,39562,0,64851,0,0,0,4,0,,182585,0,0,0,,,,,,,,,,,
2019,,297.088,0,66496,0,85072,0,0,0,0,4540,,140980,0,0,0,,,,,,,,,,,
2020,,246.092,1955,66656,0,71697,0,0,0,0,0,,105784,0,0,0,,,,,,,,,,0,
2021,,283.179,14651,76828,0,48484,0,0,0,0,0,,143216,0,0,0,,,,,,,,,,0,
2022,,316.632,6272,47354,0,49585,0,0,0,1646,0,,208474,0,0,0,3301,,,,,,,,,0,
2023,,255.688,2507,36416,0,53622,0,0,0,56,2289,11620,149178,0,0,0,0,,,,,,,,,0,